guid,title,pubDate,description,link,media
b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',b'Ranbir Kapoor Reads Book on Filmmaking in This Throwback Pic',b'2020-06-30T15:34:42+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1593511444_ranbir-kapoor-1.jpg' width='90' height='62' />The book in Ranbir Kapoor's hand is Robert Evans\xe2\x80\x99 autobiography \xe2\x80\x98The Kid Stays In the Picture\xe2\x80\x99.""",b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',
b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',b'Ranbir Kapoor Reads Book on Filmmaking in This Throwback Pic',b'2020-06-30T15:34:42+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1593511444_ranbir-kapoor-1.jpg' width='90' height='62' />The book in Ranbir Kapoor's hand is Robert Evans\xe2\x80\x99 autobiography \xe2\x80\x98The Kid Stays In the Picture\xe2\x80\x99.""",b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',
b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',b'Ranbir Kapoor Reads Book on Filmmaking in This Throwback Pic',b'2020-06-30T15:34:42+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1593511444_ranbir-kapoor-1.jpg' width='90' height='62' />The book in Ranbir Kapoor's hand is Robert Evans\xe2\x80\x99 autobiography \xe2\x80\x98The Kid Stays In the Picture\xe2\x80\x99.""",b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',
b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',b'Ranbir Kapoor Reads Book on Filmmaking in This Throwback Pic',b'2020-06-30T15:34:42+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1593511444_ranbir-kapoor-1.jpg' width='90' height='62' />The book in Ranbir Kapoor's hand is Robert Evans\xe2\x80\x99 autobiography \xe2\x80\x98The Kid Stays In the Picture\xe2\x80\x99.""",b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',
b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',b'Ranbir Kapoor Reads Book on Filmmaking in This Throwback Pic',b'2020-06-30T15:34:42+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1593511444_ranbir-kapoor-1.jpg' width='90' height='62' />The book in Ranbir Kapoor's hand is Robert Evans\xe2\x80\x99 autobiography \xe2\x80\x98The Kid Stays In the Picture\xe2\x80\x99.""",b'https://www.news18.com/news/lifestyle/ranbir-kapoor-reads-book-on-filmmaking-in-this-throwback-pic-2694257.html',
b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',"b""Sonam Kapoor's Throwback Pic is All About Her Love for Reading""",b'2020-06-12T13:21:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1591948242_sonam-kapoor-2.jpg' width='90' height='62' />Sonam Kapoor says she is bookworm as she posts a throwback picture on social media.""",b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',
b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',"b""Sonam Kapoor's Throwback Pic is All About Her Love for Reading""",b'2020-06-12T13:21:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1591948242_sonam-kapoor-2.jpg' width='90' height='62' />Sonam Kapoor says she is bookworm as she posts a throwback picture on social media.""",b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',
b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',"b""Sonam Kapoor's Throwback Pic is All About Her Love for Reading""",b'2020-06-12T13:21:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1591948242_sonam-kapoor-2.jpg' width='90' height='62' />Sonam Kapoor says she is bookworm as she posts a throwback picture on social media.""",b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',
b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',"b""Sonam Kapoor's Throwback Pic is All About Her Love for Reading""",b'2020-06-12T13:21:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1591948242_sonam-kapoor-2.jpg' width='90' height='62' />Sonam Kapoor says she is bookworm as she posts a throwback picture on social media.""",b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',
b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',"b""Sonam Kapoor's Throwback Pic is All About Her Love for Reading""",b'2020-06-12T13:21:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/06/1591948242_sonam-kapoor-2.jpg' width='90' height='62' />Sonam Kapoor says she is bookworm as she posts a throwback picture on social media.""",b'https://www.news18.com/news/lifestyle/sonam-kapoors-throwback-pic-is-all-about-her-love-for-reading-2666003.html',
